user_id,course_id,coursetitle,completiondate,status,credithours,grade,trainingcost,trainingtype
1010,PM-001,Product Management Essentials,2023-11-01,FAIL,20.0,42.48,1287.33,COURSE
1010,REACT-001,React & TypeScript Masterclass,2022-01-27,COMP,36.0,83.46,1348.38,ELEARN
1010,LEAD-001,Leadership & Management,2023-12-14,COMP,20.0,67.62,1592.1,COURSE
1011,GDPR-001,RGPD & Protection des Données,2024-12-11,COMP,2.0,72.25,201.86,COMPLIANCE
1011,HEALTH-001,Santé & Sécurité au Travail,2024-12-26,COMP,4.0,79.04,248.71,COMPLIANCE
1011,FIRE-001,Sécurité & Évacuation Incendie,2025-01-22,COMP,1.0,76.06,104.42,COMPLIANCE
1011,DEI-001,Égalité Femmes-Hommes,2024-12-07,COMP,3.0,73.83,177.06,COMPLIANCE
1011,FRAUD-001,Prévention Fraude & Corruption,2025-01-19,COMP,2.0,77.58,161.31,COMPLIANCE
1011,ETHICS-001,Code de Déontologie Novaryn Tech,2025-01-09,COMP,1.5,99.25,129.48,COMPLIANCE
1011,SAFE-001,SAFe Agile Practitioner,2024-12-31,COMP,16.0,80.95,1590.03,COURSE
1011,COMM-001,Communication & Public Speaking,2025-04-21,ENR,8.0,0.0,411.9,OJT
1011,LEAD-001,Leadership & Management,2024-12-31,COMP,20.0,65.16,1295.45,COURSE
1011,REACT-001,React & TypeScript Masterclass,2024-12-31,COMP,36.0,91.78,1269.77,ELEARN
1011,EXCEL-001,Excel Avancé & Reporting,2025-05-20,ENR,8.0,0.0,399.4,ELEARN
1012,GDPR-001,RGPD & Protection des Données,2019-04-21,COMP,2.0,96.11,218.86,COMPLIANCE
1012,HEALTH-001,Santé & Sécurité au Travail,2019-03-28,COMP,4.0,83.13,250.46,COMPLIANCE
1012,FIRE-001,Sécurité & Évacuation Incendie,2019-04-22,COMP,1.0,93.38,98.02,COMPLIANCE
1012,DEI-001,Égalité Femmes-Hommes,2019-04-04,COMP,3.0,76.21,162.13,COMPLIANCE
1012,FRAUD-001,Prévention Fraude & Corruption,2019-04-23,COMP,2.0,76.53,155.9,COMPLIANCE
1012,ETHICS-001,Code de Déontologie Novaryn Tech,2019-05-07,COMP,1.5,85.38,120.09,COMPLIANCE
1012,AZURE-001,Microsoft Azure Fundamentals,2024-11-05,COMP,28.0,66.84,1381.89,ELEARN
1012,AWS-001,AWS Cloud Practitioner,2023-03-23,COMP,30.0,61.56,1610.0,ELEARN
1012,EXCEL-001,Excel Avancé & Reporting,2022-11-11,FAIL,8.0,57.62,372.45,ELEARN
1012,SAFE-001,SAFe Agile Practitioner,2025-06-21,ENR,16.0,0.0,1601.61,COURSE
1013,GDPR-001,RGPD & Protection des Données,2014-10-22,COMP,2.0,76.3,184.65,COMPLIANCE
1013,HEALTH-001,Santé & Sécurité au Travail,2014-10-11,COMP,4.0,80.42,255.26,COMPLIANCE
1013,FIRE-001,Sécurité & Évacuation Incendie,2014-09-23,COMP,1.0,79.74,108.93,COMPLIANCE
1013,DEI-001,Égalité Femmes-Hommes,2014-10-05,COMP,3.0,77.92,166.81,COMPLIANCE
1013,FRAUD-001,Prévention Fraude & Corruption,2014-10-09,COMP,2.0,78.85,164.56,COMPLIANCE
1013,ETHICS-001,Code de Déontologie Novaryn Tech,2014-10-10,COMP,1.5,94.48,127.77,COMPLIANCE
1013,COMM-001,Communication & Public Speaking,2024-03-15,COMP,8.0,60.63,418.88,OJT
1013,AZURE-001,Microsoft Azure Fundamentals,2025-06-13,ENR,28.0,0.0,1411.09,ELEARN
1013,PYTHON-001,Python for Data Science,2025-05-18,ENR,24.0,0.0,1133.7,ELEARN
1014,GDPR-001,RGPD & Protection des Données,2017-10-15,COMP,2.0,96.1,205.37,COMPLIANCE
1014,HEALTH-001,Santé & Sécurité au Travail,2017-11-03,COMP,4.0,76.18,247.11,COMPLIANCE
1014,FIRE-001,Sécurité & Évacuation Incendie,2017-10-19,COMP,1.0,78.06,101.63,COMPLIANCE
1014,DEI-001,Égalité Femmes-Hommes,2017-11-19,COMP,3.0,95.75,176.24,COMPLIANCE
1014,FRAUD-001,Prévention Fraude & Corruption,2017-10-27,COMP,2.0,76.95,156.79,COMPLIANCE
1014,ETHICS-001,Code de Déontologie Novaryn Tech,2017-10-22,COMP,1.5,74.45,119.5,COMPLIANCE
1014,PYTHON-001,Python for Data Science,2024-02-23,COMP,24.0,97.73,904.12,ELEARN
1014,K8S-001,Kubernetes Fundamentals,2021-10-21,COMP,24.0,72.41,1227.13,ELEARN
1014,EXCEL-001,Excel Avancé & Reporting,2025-06-26,ENR,8.0,0.0,412.94,ELEARN
1014,SAFE-001,SAFe Agile Practitioner,2022-03-13,COMP,16.0,62.88,1293.01,COURSE
1014,AWS-001,AWS Cloud Practitioner,2022-11-23,FAIL,30.0,58.44,1584.13,ELEARN
1015,GDPR-001,RGPD & Protection des Données,2018-07-28,COMP,2.0,74.12,210.02,COMPLIANCE
1015,HEALTH-001,Santé & Sécurité au Travail,2018-06-25,COMP,4.0,88.1,243.89,COMPLIANCE
1015,FIRE-001,Sécurité & Évacuation Incendie,2018-06-26,COMP,1.0,73.3,90.27,COMPLIANCE
1015,DEI-001,Égalité Femmes-Hommes,2018-08-17,COMP,3.0,89.33,163.57,COMPLIANCE
1015,FRAUD-001,Prévention Fraude & Corruption,2018-07-10,COMP,2.0,93.1,143.03,COMPLIANCE
1015,ETHICS-001,Code de Déontologie Novaryn Tech,2018-08-04,COMP,1.5,87.99,127.02,COMPLIANCE
1015,EXCEL-001,Excel Avancé & Reporting,2022-05-18,COMP,8.0,92.73,442.33,ELEARN
1015,LEAD-001,Leadership & Management,2022-05-08,COMP,20.0,65.57,1616.85,COURSE
1016,GDPR-001,RGPD & Protection des Données,2017-12-12,COMP,2.0,94.46,192.3,COMPLIANCE
1016,HEALTH-001,Santé & Sécurité au Travail,2017-12-14,COMP,4.0,74.64,227.79,COMPLIANCE
1016,FIRE-001,Sécurité & Évacuation Incendie,2017-12-28,COMP,1.0,78.02,100.87,COMPLIANCE
1016,DEI-001,Égalité Femmes-Hommes,2017-11-15,COMP,3.0,94.75,165.7,COMPLIANCE
1016,FRAUD-001,Prévention Fraude & Corruption,2017-12-02,COMP,2.0,73.08,161.59,COMPLIANCE
1016,ETHICS-001,Code de Déontologie Novaryn Tech,2017-12-10,COMP,1.5,74.26,129.89,COMPLIANCE
1016,AWS-001,AWS Cloud Practitioner,2024-09-22,COMP,30.0,74.13,1684.9,ELEARN
1016,REACT-001,React & TypeScript Masterclass,2020-02-01,FAIL,36.0,53.0,1267.24,ELEARN
1017,GDPR-001,RGPD & Protection des Données,2012-11-17,COMP,2.0,94.68,184.5,COMPLIANCE
1017,HEALTH-001,Santé & Sécurité au Travail,2012-10-13,COMP,4.0,99.72,236.23,COMPLIANCE
1017,FIRE-001,Sécurité & Évacuation Incendie,2012-10-21,COMP,1.0,80.72,102.31,COMPLIANCE
1017,DEI-001,Égalité Femmes-Hommes,2012-10-10,COMP,3.0,80.81,195.29,COMPLIANCE
1017,FRAUD-001,Prévention Fraude & Corruption,2012-10-08,COMP,2.0,96.87,153.14,COMPLIANCE
1017,ETHICS-001,Code de Déontologie Novaryn Tech,2012-10-14,COMP,1.5,82.86,116.04,COMPLIANCE
1017,SAFE-001,SAFe Agile Practitioner,2024-05-24,FAIL,16.0,53.06,1452.4,COURSE
1017,REACT-001,React & TypeScript Masterclass,2021-08-16,COMP,36.0,95.02,1117.59,ELEARN
1017,PYTHON-001,Python for Data Science,2020-09-22,COMP,24.0,74.76,929.62,ELEARN
1018,GDPR-001,RGPD & Protection des Données,2014-04-07,COMP,2.0,93.96,211.55,COMPLIANCE
1018,HEALTH-001,Santé & Sécurité au Travail,2014-03-02,COMP,4.0,93.33,232.33,COMPLIANCE
1018,FIRE-001,Sécurité & Évacuation Incendie,2014-03-02,COMP,1.0,81.72,104.43,COMPLIANCE
1018,DEI-001,Égalité Femmes-Hommes,2014-04-12,COMP,3.0,99.29,191.33,COMPLIANCE
1018,FRAUD-001,Prévention Fraude & Corruption,2014-02-28,COMP,2.0,87.34,163.79,COMPLIANCE
1018,ETHICS-001,Code de Déontologie Novaryn Tech,2014-03-10,COMP,1.5,74.34,115.75,COMPLIANCE
1018,PYTHON-001,Python for Data Science,2022-01-19,COMP,24.0,76.95,1058.03,ELEARN
1018,REACT-001,React & TypeScript Masterclass,2023-06-16,COMP,36.0,91.74,1140.05,ELEARN
1018,SQL-001,Advanced SQL for Analytics,2025-06-22,ENR,16.0,0.0,901.19,ELEARN
1019,GDPR-001,RGPD & Protection des Données,2021-06-23,COMP,2.0,82.56,199.88,COMPLIANCE
1019,HEALTH-001,Santé & Sécurité au Travail,2021-07-03,COMP,4.0,84.78,251.81,COMPLIANCE
1019,FIRE-001,Sécurité & Évacuation Incendie,2021-06-13,COMP,1.0,81.54,101.62,COMPLIANCE
1019,DEI-001,Égalité Femmes-Hommes,2021-06-25,COMP,3.0,85.81,189.96,COMPLIANCE
1019,FRAUD-001,Prévention Fraude & Corruption,2021-07-20,COMP,2.0,92.45,156.09,COMPLIANCE
1019,ETHICS-001,Code de Déontologie Novaryn Tech,2021-06-14,COMP,1.5,80.85,112.88,COMPLIANCE
1019,SQL-001,Advanced SQL for Analytics,2023-12-31,COMP,16.0,65.34,706.44,ELEARN
1019,ML-001,Machine Learning Fundamentals,2024-11-10,FAIL,40.0,46.86,1767.68,ELEARN
1020,GDPR-001,RGPD & Protection des Données,2022-09-04,COMP,2.0,94.57,191.79,COMPLIANCE
1020,HEALTH-001,Santé & Sécurité au Travail,2022-07-26,COMP,4.0,95.06,252.58,COMPLIANCE
1020,FIRE-001,Sécurité & Évacuation Incendie,2022-08-12,COMP,1.0,77.27,106.56,COMPLIANCE
1020,DEI-001,Égalité Femmes-Hommes,2022-07-20,COMP,3.0,92.41,166.22,COMPLIANCE
1020,FRAUD-001,Prévention Fraude & Corruption,2022-08-30,COMP,2.0,91.12,146.32,COMPLIANCE
1020,ETHICS-001,Code de Déontologie Novaryn Tech,2022-07-18,COMP,1.5,90.88,118.19,COMPLIANCE
1020,COMM-001,Communication & Public Speaking,2023-10-16,COMP,8.0,62.95,440.49,OJT
1020,LEAD-001,Leadership & Management,2025-04-03,ENR,20.0,0.0,1341.1,COURSE
1021,GDPR-001,RGPD & Protection des Données,2015-04-25,COMP,2.0,72.37,183.08,COMPLIANCE
1021,HEALTH-001,Santé & Sécurité au Travail,2015-05-22,COMP,4.0,94.93,245.82,COMPLIANCE
1021,FIRE-001,Sécurité & Évacuation Incendie,2015-06-03,COMP,1.0,75.47,104.87,COMPLIANCE
1021,DEI-001,Égalité Femmes-Hommes,2015-06-02,COMP,3.0,85.82,196.16,COMPLIANCE
1021,FRAUD-001,Prévention Fraude & Corruption,2015-05-16,COMP,2.0,82.35,145.12,COMPLIANCE
1021,ETHICS-001,Code de Déontologie Novaryn Tech,2015-06-05,COMP,1.5,89.35,108.32,COMPLIANCE
1021,PYTHON-001,Python for Data Science,2024-03-04,FAIL,24.0,40.61,1075.34,ELEARN
1021,SCRUM-001,Scrum Fundamentals,2023-10-24,COMP,12.0,60.43,659.88,ELEARN
1022,GDPR-001,RGPD & Protection des Données,2023-05-21,COMP,2.0,98.45,198.17,COMPLIANCE
1022,HEALTH-001,Santé & Sécurité au Travail,2023-05-23,COMP,4.0,94.89,270.96,COMPLIANCE
1022,FIRE-001,Sécurité & Évacuation Incendie,2023-05-10,COMP,1.0,79.18,94.55,COMPLIANCE
1022,DEI-001,Égalité Femmes-Hommes,2023-04-18,COMP,3.0,78.15,165.31,COMPLIANCE
1022,FRAUD-001,Prévention Fraude & Corruption,2023-05-02,COMP,2.0,99.34,138.75,COMPLIANCE
1022,ETHICS-001,Code de Déontologie Novaryn Tech,2023-04-21,COMP,1.5,82.01,109.34,COMPLIANCE
1022,PYTHON-001,Python for Data Science,2025-05-29,ENR,24.0,0.0,993.22,ELEARN
1022,COMM-001,Communication & Public Speaking,2023-09-10,COMP,8.0,76.2,385.66,OJT
1022,ML-001,Machine Learning Fundamentals,2024-02-13,COMP,40.0,74.86,1563.63,ELEARN
1022,PM-001,Product Management Essentials,2023-12-19,COMP,20.0,64.18,1150.57,COURSE
1022,LEAD-001,Leadership & Management,2025-05-12,ENR,20.0,0.0,1287.62,COURSE
1023,GDPR-001,RGPD & Protection des Données,2016-12-28,COMP,2.0,74.88,184.26,COMPLIANCE
1023,HEALTH-001,Santé & Sécurité au Travail,2016-12-23,COMP,4.0,87.91,262.83,COMPLIANCE
1023,FIRE-001,Sécurité & Évacuation Incendie,2016-12-29,COMP,1.0,75.63,94.03,COMPLIANCE
1023,DEI-001,Égalité Femmes-Hommes,2016-12-12,COMP,3.0,77.21,165.06,COMPLIANCE
1023,FRAUD-001,Prévention Fraude & Corruption,2017-01-15,COMP,2.0,86.94,151.91,COMPLIANCE
1023,ETHICS-001,Code de Déontologie Novaryn Tech,2017-01-29,COMP,1.5,84.51,109.15,COMPLIANCE
1023,AZURE-001,Microsoft Azure Fundamentals,2022-01-25,FAIL,28.0,54.28,1820.19,ELEARN
1023,SCRUM-001,Scrum Fundamentals,2022-08-09,COMP,12.0,72.58,580.32,ELEARN
1024,GDPR-001,RGPD & Protection des Données,2013-10-18,COMP,2.0,99.22,208.11,COMPLIANCE
1024,HEALTH-001,Santé & Sécurité au Travail,2013-10-02,COMP,4.0,79.94,269.83,COMPLIANCE
1024,FIRE-001,Sécurité & Évacuation Incendie,2013-10-28,COMP,1.0,73.03,106.15,COMPLIANCE
1024,DEI-001,Égalité Femmes-Hommes,2013-10-05,COMP,3.0,70.71,190.66,COMPLIANCE
1024,FRAUD-001,Prévention Fraude & Corruption,2013-10-26,COMP,2.0,87.59,160.56,COMPLIANCE
1024,ETHICS-001,Code de Déontologie Novaryn Tech,2013-10-14,COMP,1.5,74.84,124.38,COMPLIANCE
1024,SAFE-001,SAFe Agile Practitioner,2024-12-11,FAIL,16.0,44.4,1280.57,COURSE
1024,LEAD-001,Leadership & Management,2023-02-20,COMP,20.0,65.63,1598.35,COURSE
1025,GDPR-001,RGPD & Protection des Données,2019-10-27,COMP,2.0,85.49,209.15,COMPLIANCE
1025,HEALTH-001,Santé & Sécurité au Travail,2019-11-05,COMP,4.0,85.7,263.43,COMPLIANCE
1025,FIRE-001,Sécurité & Évacuation Incendie,2019-10-23,COMP,1.0,93.56,96.78,COMPLIANCE
1025,DEI-001,Égalité Femmes-Hommes,2019-10-18,COMP,3.0,88.7,195.85,COMPLIANCE
1025,FRAUD-001,Prévention Fraude & Corruption,2019-09-27,COMP,2.0,96.72,158.23,COMPLIANCE
1025,ETHICS-001,Code de Déontologie Novaryn Tech,2019-10-19,COMP,1.5,77.17,131.93,COMPLIANCE
1025,PYTHON-001,Python for Data Science,2024-01-10,COMP,24.0,79.9,1091.42,ELEARN
1025,PM-001,Product Management Essentials,2024-09-15,COMP,20.0,94.82,1216.97,COURSE
1026,GDPR-001,RGPD & Protection des Données,2018-06-16,COMP,2.0,93.44,183.49,COMPLIANCE
1026,HEALTH-001,Santé & Sécurité au Travail,2018-05-02,COMP,4.0,83.64,233.49,COMPLIANCE
1026,FIRE-001,Sécurité & Évacuation Incendie,2018-05-14,COMP,1.0,74.84,95.6,COMPLIANCE
1026,DEI-001,Égalité Femmes-Hommes,2018-05-19,COMP,3.0,80.6,164.56,COMPLIANCE
1026,FRAUD-001,Prévention Fraude & Corruption,2018-06-10,COMP,2.0,93.16,142.74,COMPLIANCE
1026,ETHICS-001,Code de Déontologie Novaryn Tech,2018-05-26,COMP,1.5,99.35,126.32,COMPLIANCE
1026,SAFE-001,SAFe Agile Practitioner,2024-07-07,COMP,16.0,94.36,1358.39,COURSE
1026,PYTHON-001,Python for Data Science,2025-06-26,ENR,24.0,0.0,888.7,ELEARN
1026,LEAD-001,Leadership & Management,2023-08-14,COMP,20.0,93.79,1703.42,COURSE
1026,PM-001,Product Management Essentials,2024-09-05,COMP,20.0,87.29,1202.14,COURSE
1026,K8S-001,Kubernetes Fundamentals,2022-10-24,COMP,24.0,95.02,1160.24,ELEARN
1027,GDPR-001,RGPD & Protection des Données,2023-07-12,COMP,2.0,99.32,182.28,COMPLIANCE
1027,HEALTH-001,Santé & Sécurité au Travail,2023-07-23,COMP,4.0,77.34,266.06,COMPLIANCE
1027,FIRE-001,Sécurité & Évacuation Incendie,2023-06-03,COMP,1.0,74.64,92.11,COMPLIANCE
1027,DEI-001,Égalité Femmes-Hommes,2023-06-27,COMP,3.0,74.75,176.37,COMPLIANCE
1027,FRAUD-001,Prévention Fraude & Corruption,2023-06-07,COMP,2.0,76.69,161.22,COMPLIANCE
1027,ETHICS-001,Code de Déontologie Novaryn Tech,2023-07-15,COMP,1.5,72.81,119.18,COMPLIANCE
1027,LEAD-001,Leadership & Management,2025-04-25,ENR,20.0,0.0,1455.68,COURSE
1027,EXCEL-001,Excel Avancé & Reporting,2024-08-11,COMP,8.0,73.7,412.52,ELEARN
1027,PYTHON-001,Python for Data Science,2024-03-22,COMP,24.0,89.65,884.3,ELEARN
1027,COMM-001,Communication & Public Speaking,2024-04-19,COMP,8.0,81.8,453.82,OJT
1027,REACT-001,React & TypeScript Masterclass,2024-03-07,COMP,36.0,68.54,1224.55,ELEARN
1028,GDPR-001,RGPD & Protection des Données,2023-10-02,COMP,2.0,93.23,182.5,COMPLIANCE
1028,HEALTH-001,Santé & Sécurité au Travail,2023-10-15,COMP,4.0,80.84,246.51,COMPLIANCE
1028,FIRE-001,Sécurité & Évacuation Incendie,2023-09-24,COMP,1.0,76.4,94.23,COMPLIANCE
1028,DEI-001,Égalité Femmes-Hommes,2023-08-26,COMP,3.0,98.58,186.61,COMPLIANCE
1028,FRAUD-001,Prévention Fraude & Corruption,2023-09-11,COMP,2.0,77.56,140.28,COMPLIANCE
1028,ETHICS-001,Code de Déontologie Novaryn Tech,2023-09-03,COMP,1.5,72.08,117.72,COMPLIANCE
1028,COMM-001,Communication & Public Speaking,2024-05-13,COMP,8.0,95.72,362.09,OJT
1028,K8S-001,Kubernetes Fundamentals,2024-02-17,COMP,24.0,95.8,1076.42,ELEARN
1028,REACT-001,React & TypeScript Masterclass,2024-04-13,FAIL,36.0,45.64,1091.5,ELEARN
1028,ML-001,Machine Learning Fundamentals,2024-07-18,FAIL,40.0,49.15,1617.04,ELEARN
1029,GDPR-001,RGPD & Protection des Données,2022-12-16,COMP,2.0,74.82,207.87,COMPLIANCE
1029,HEALTH-001,Santé & Sécurité au Travail,2022-11-18,COMP,4.0,97.38,253.52,COMPLIANCE
1029,FIRE-001,Sécurité & Évacuation Incendie,2022-12-18,COMP,1.0,70.3,105.66,COMPLIANCE
1029,DEI-001,Égalité Femmes-Hommes,2022-12-04,COMP,3.0,75.96,188.02,COMPLIANCE
1029,FRAUD-001,Prévention Fraude & Corruption,2022-12-03,COMP,2.0,88.5,144.71,COMPLIANCE
1029,ETHICS-001,Code de Déontologie Novaryn Tech,2022-12-18,COMP,1.5,98.17,125.83,COMPLIANCE
1029,SCRUM-001,Scrum Fundamentals,2023-04-20,COMP,12.0,72.66,652.56,ELEARN
